"","Species","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level","Dim.1","Dim.2"
"223","Hypseleotris klunzingeri",6.5,3.723489737,0.523078995,0.430350119,0.486774327,0.429131043,0.690428361,0.465058862,0.19851000240018,2.263981144,3.19,0.389377771288975,2.05209686589105
"224","Ictalurus furcatus",165,4.508068327,0.560972041,0.375399827,0.426891171,0.193244409,0.459405325,0.382099991,0.141592322,4.113898051,3.41,0.105287165098795,-1.50131157464815
"225","Ictalurus punctatus",132,4.242870388,0.610576951,0.324100187,0.488390593,0.247652458,0.461683521,0.324333682,0.140295608,3.196117814,4.16,0.49454265254844,-1.48571277337894
"226","Ictiobus bubalus",112,2.769376615,0.375575795,0.342734255,0.172781798,0.156460145,0.423947788,0.110580351,0.175652372,2.720124909,3.01,-2.83843209509302,-2.35802594467532
"227","Ictiobus cyprinellus",123,3.271618476,0.574395286,0.236382302,0.517014502,0.289722025,0.57477517,0.156740724,0.233957069,2.44818184,3.11,-1.20403766252066,-0.528810025836346
"228","Ictiobus niger",123,3.136200032,0.457732368,0.183521923,0.173701465,0.48293134729499,0.583906342,0.161981981,0.170484405,2.900035806,3.42,-1.40875088515786,-2.30253926325701
"229","Iheringichthys labrosus",29.7,4.364879381,0.468722209,0.394337169,0.097558231,0.272896541,0.60183029,0.123718906,0.195650233,3.28393866,2.94,-0.474381210359942,-1.11464859244592
"230","Kuhlia rupestris",45,2.655421383,0.570299941,0.373605846,0.52490001,0.637899017,0.499289512,0.389402477,0.186832259,2.773835634,3.22,-1.5150456217034,0.588295168762801
"231","Labeo coubie",75,3.420093002,0.45719643,0.323496111,0.259476487,0.252988663,0.510065252,0.171424286,0.218968818,2.807731768,2,-2.08329873197473,-0.908437058865428
"232","Labeo parvus",38,3.58001025,0.509374498,0.220350113,0.154030919,0.220350113,0.512572001,0.165872391,0.233442449,2.166653847,2,-1.69721314193461,-0.716970793538595
"233","Labeo senegalensis",65,3.319367307,0.591551961,0.19324147,0.281814807,0.205489939,0.465915956,0.290200246,0.198913201,1.670907379,3.12364047428486,-0.914293102455036,-0.832055863604599
"234","Labeobarbus bynni",82,3.105529948,0.44147526,0.411882353,0.269644531,0.543565359,0.3984375,0.25,0.193187388,2.78847243105383,3.1,-2.09378458758238,-1.26300607488764
"235","Labeobarbus wurtzi",24.5,2.608085729,0.416460463,0.286118079,0.26712447,0.37329965,0.36193326,0.258537459,0.203416507,2.29331597,3.2,-2.80240685175479,-0.87778126470195
"236","Labidesthes sicculus",13,6.972761485,0.471497705,0.628565998,0.559578758,0.486533503,0.644562285,0.528515611,0.157045455,3.546281655,3.35,2.38598712301769,1.11877015532095
"237","Lates niloticus",200,2.855017094,0.414952318,0.327294604,0.322023631,0.959259761,0.353913513,0.37460565,0.174819387,1.935588273,4.48,-1.6666720005957,-2.15733864390828
"238","Leiopotherapon unicolor",31,2.865350127,0.580084929,0.328617219,0.45387644,0.535554603,0.504844262,0.315546989,0.210113596,2.25940571,4.1,-0.953112233429224,0.279700086515765
"239","Lepisosteus oculatus",150,8.520604278,0.335192513,0.517447799,0.163994652,3.722334993,0.413609626,0.221032086,0.083093326,2.375456884,4,2.04699222977435,-4.05642463020324
"240","Lepisosteus osseus",200,10.64851028,0.657994382,0.417702324,0.497840077,2.913916818,0.808904572,0.302211477,0.054895659,2.965699566,4.19,5.48338251218434,-2.02386318080377
"241","Lepisosteus platostomus",88,8.4750246,0.574628334,0.533264176,0.63119066,3.767481971,0.425579107,0.305284434,0.102870247,2.500614583,3.9,2.93829521427944,-1.56354207813353
