"","Model name","Estimate","Effect","Mean Estimate","CI Lower","CI Upper","Category"
"1","cooccur.glm.tp",-5.86612001830606,"(Intercept)",0.00282583930939918,0.00281604369620509,0.00283566889975623,"Co-occur"
"2","cooccur.glm.tp",4.13956995987965,"taxnovelTRUE",0.1510293972382,0.15058376564514,0.151476112437255,"Co-occur"
"3","cooccur.glm.tp",-0.228198444451855,"bin.lagS",0.124036504714769,0.123658933214433,0.12441506539403,"Co-occur"
"4","cooccur.glm.tp",0.0270897605695309,"logYr_posS",0.127009948463182,0.126624698351566,0.127396199710334,"Co-occur"
