"","Effect_Size","Mean_Estimate","CI_Lower","CI_Upper","PI_Lower","PI_Upper"
"(Intercept)",2.2491600090799,-2.2491600090799,-2.26783121426404,-2.23048880389576,-5.14046986057593,0.60115929552702
"taxnovelTRUE",1.28727812728307,-0.961881881796831,-1.13100643251996,-0.792757331073707,-5.19888608953892,0.543231660207492
"bin.lagS",0.0704753805739388,0.0704753805739388,0.0515894549407175,0.0893613062071602,-5.15363857077292,0.588000042445903
"logYr_posS",0.026605616678361,0.026605616678361,0.00798292769615492,0.045228305660567,-5.17621912050253,0.565572641673306
