"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1267","G7292","FRA",2080021030,FALSE,FALSE,0,81,0.5,-1.37684177891528,-0.433302246569946
"1268","G7293","FRA",2080021030,FALSE,FALSE,0,81,0.473684210526316,-1.51390875842421,-0.433302246569946
"1269","G7294","FRA",2080021030,FALSE,FALSE,0,289,0.894736842105263,0.679162913718694,0.864785110235906
"1270","G7295","FRA",2080021030,FALSE,FALSE,0,64,0.421052631578947,-1.78804271744207,-0.539395924770424
"1271","G7297","FRA",2080021030,FALSE,FALSE,0,169,0.684210526315789,-0.417372922352758,0.11588855823253
"1272","G7298","FRA",2080021030,FALSE,FALSE,0,169,0.684210526315789,-0.417372922352758,0.11588855823253
"1273","G7299","FRA",2080021030,FALSE,FALSE,0,196,1,1.22743083175442,0.28439028243329
"1274","G7321","FRA",2080023010,FALSE,FALSE,0,49,1,1.22743083175442,-0.633007993770846
"1275","G7333","FRA",2080022030,FALSE,FALSE,0,25,0.714285714285714,-0.260724945771122,-0.782787304171522
"1276","G7334","FRA",2080021030,FALSE,FALSE,0,64,0.888888888888889,0.648703584938931,-0.539395924770424
"1277","G7336","FRA",2080021030,FALSE,TRUE,0,81,0.428571428571429,-1.74888072329666,-0.433302246569946
"1278","G7338","FRA",2080021030,FALSE,FALSE,0,100,1,1.22743083175442,-0.314726959169411
"1279","G7339","FRA",2080022130,FALSE,FALSE,0,64,1,1.22743083175442,-0.539395924770424
"1280","G7340","FRA",2080022030,FALSE,FALSE,0,121,0.5,-1.37684177891528,-0.183670062568821
"1281","G7342","FRA",2080021970,TRUE,FALSE,0,196,0.666666666666667,-0.508750908692046,0.28439028243329
"1282","G7343","FRA",2080021890,FALSE,FALSE,0,324,0.782608695652174,0.0951383923328116,1.08321327123689
"1283","G7344","FRA",2080021860,FALSE,FALSE,0,121,1,1.22743083175442,-0.183670062568821
"1284","G7347","FRA",2080021860,FALSE,FALSE,0,144,0.545454545454545,-1.14008972339985,-0.0401315567681734
"1285","G7348","FRA",2080021820,FALSE,FALSE,0,169,0.590909090909091,-0.903337667884424,0.11588855823253
"1286","G7353","FRA",2080021800,FALSE,FALSE,0,100,1,1.22743083175442,-0.314726959169411
"1287","G7355","FRA",2080021800,FALSE,FALSE,0,256,0.695652173913043,-0.357778583435832,0.658838558434978
"1288","G7356","FRA",2080022080,FALSE,FALSE,0,25,1,1.22743083175442,-0.782787304171522
"1289","G7357","FRA",2080021030,TRUE,FALSE,0,484,0.916666666666667,0.793385396642803,2.08174200724139
"1290","G7358","FRA",2080021030,FALSE,FALSE,0,400,0.869565217391304,0.548055368101454,1.55751442083903
