"","Effect_Size","Mean_Estimate","CI_Lower","CI_Upper","PI_Lower","PI_Upper"
"(Intercept)",0.00364711300989399,-0.00364711300989399,-0.0112644896288058,0.00397026360901778,-1.13939725386119,1.14768851825418
"taxnovelTRUE",0.0711095524351654,0.0674624394252714,-0.00515135967989394,0.140076238530437,-1.1439383693614,1.14301330015694
"bin.lagS",0.00188974823361995,-0.00188974823361995,-0.00947386558549261,0.0056943691182527,-1.14402617465448,1.14287819446045
"logYr_posS",0.00353822417777137,-0.00353822417777137,-0.0111212241744932,0.00404477581895049,-1.14688553124798,1.14000496178233
