"","VEp","REs","OGp","BLs","PFv","PFs","CPt","troph_level","logMBl","logBEl","logRMl","Species"
"1",0.546875558,0.341575092,0.512381063,0.398473812,0.36893787,0.194460833,3.01447933,3.05,4.40671924726425,0.934646216878577,0.934646216878577,"Abramis brama"
"2",0.616108251,0.44198177,0.560704125,0.548239631,0.193728844,0.168093255,4.340981595,4.3,3.29583686600433,1.45619766557028,1.45619766557028,"Acestrorhynchus lacustris"
"3",0.556195819,0.454465121,0.506526585,0.517677121,0.202195925,0.182729549,3.95635534,4.3,3.56104608260405,1.42987848281226,1.42987848281226,"Acestrorhynchus pantaneiro"
"4",0.429329131,0.288916469,0,0.510963353,0,0.157251327,4.662817348,3.27999997138977,5.61312810638807,1.90465155671034,1.90465155671034,"Acipenser fulvescens"
"5",0.262068614,0.193794643,0,0.407594356,0,0.16240453,4.486984957,3.25,6.41345895716736,1.76266869048143,1.76266869048143,"Acipenser transmontanus"
"6",0.413552632,0.414948996,0.313236842,0.583035088,0.219298246,0.14021271,3.539973055,2.13,3.40119738166216,1.45196916082339,1.45196916082339,"Acrocheilus alutaceus"
"7",0.441368551,0.239799389,0.554374794,0.546075194,0.384341556,0.191017425,2.928035757,3.98,4.17130560335823,1.57761749376703,1.57761749376703,"Ageneiosus inermis"
"8",0.484752806,0.390921303,0.318027165,0.520074036,0.300734007,0.188719517,1.943681715,2.9,2.30258509299405,1.40525524601502,1.40525524601502,"Agosia chrysogaster"
"9",0.525739563,0.623262053,0.488984023,0.451359456,0.268386674,0.204675647,3.342143807,2.89,2.91777073208428,1.25641252048585,1.25641252048585,"Alburnoides bipunctatus"
"10",0.559971056,0.540985824,0.559971056,0.429576461,0.2766026,0.152191702,1.942321838,2.70000004768372,3.2188758248682,1.44774848703795,1.44774848703795,"Alburnus alburnus"
"11",0.552255315,0.571636146,0.612738565,0.424307539,0.319751575,0.185787999,4.097104898,3.05,3.76120011569356,1.40524418713931,1.40524418713931,"Alestes baremoze"
"12",0.531244891,0.386758926,0.425779382,0.546883987,0.144566277,0.158360041,3.053753725,2.95,4.4188406077966,1.36366538012639,1.36366538012639,"Alosa alosa"
"13",0.652789513,0.39763413,0.642865555,0.561015951,0.18814041,0.146598491,2.570926861,3.89,3.91202300542815,1.3335729832959,1.3335729832959,"Alosa chrysochloris"
"14",0.584315807,0.36249818,0.546593042,0.471669221,0.192536818,0.1380103,3.533629851,4.03,4.0943445622221,1.28820316923371,1.28820316923371,"Alosa fallax"
"15",0.608067173,0.371959829,0.645928247,0.608870676,0.199791089,0.127512792,2.666674614,3.39,3.68887945411394,1.32091502206065,1.32091502206065,"Alosa pseudoharengus"
"16",0.552868003,0.351030888,0.507560017,0.492453578,0.181367895,0.163029455,3.793900818,3.48,4.33073334028633,1.26183463111298,1.26183463111298,"Alosa sapidissima"
"17",0.510690673,0.496479313,0.604274606,0.598802445,0.307522142,0.230217237,2.792177326,3.3,2.07944154167984,1.0145940952681,1.0145940952681,"Ambassis agassizii"
"18",0.430526243,0.527202703,0.499904068,0.567915826,0.338685045,0.117670423,2.660641509,3.4,2.30258509299405,1.00227063093996,1.00227063093996,"Ambassis marianus"
"19",0.524442688,0.385614211,0.417820293,0.607382193,0.342235628,0.196628382,2.313312287,3.43,3.76120011569356,0.922060672107096,0.922060672107096,"Ambloplites rupestris"
"20",0.530260362,0.346760551,0.306917386,0.559919101,0.32942065,0.165453434,1.978334006,3.4,3.36729582998647,1.44240151546905,1.44240151546905,"Ameiurus brunneus"
"21",0.510909129,0.26321762,0.443448422,0.603220805,0.273872555,0.1777031,2.376083333,3.18,4.55387689160054,1.48357957380757,1.48357957380757,"Ameiurus catus"
"22",0.48507337,0.210539107,0.404241848,0.570236413,0.389497283,0.157155275,2.213600411,3.81,4.18965474202643,1.41135011020725,1.41135011020725,"Ameiurus melas"
"23",0.685748816,0.21082667,0.576156738,0.687800064,0.300934704,0.161264652,1.885352967,3.33,4.0943445622221,1.66667135105962,1.66667135105962,"Ameiurus natalis"
"24",0.463754674,0.268012891,0.345555201,0.490174198,0.347816005,0.153249389,1.839310528,3.68,4.00733318523247,1.3786750479852,1.3786750479852,"Ameiurus nebulosus"
"25",0.566364057,0.239979202,0.426656985,0.564385118,0.203431917,0.125053001,1.36475708,3.81,4.69134788222914,1.57604672780934,1.57604672780934,"Amia calva"
"26",0.425466729,0.590915319,0.157762307,0.570869837,0.425466729,0.14737824,1.933787808,3.3,1.96009478404727,1.97178821036125,1.97178821036125,"Ammocrypta clara"
"27",0.689463135,0.482758621,0.457832242,0.735779165,0.511632922,0.109765987,1.637427198,3.3,1.98787434815435,2.03465059142091,2.03465059142091,"Ammocrypta vivax"
"28",0.43855936,0.518725926,0.276024412,0.405856357,0.312160659,0.195897189,2.608495982,2.79,2.89037175789616,0.954759576676023,0.954759576676023,"Amniataba percoides"
"29",0.821233167,0.249665422,0.720516313,0.634091873,0.604546774,0.04466753,0,3.55,4.89034912822175,2.78619220512091,2.78619220512091,"Anguilla anguilla"
"30",0.573910584,0.311512112,0.500616174,0.451180832,0.573910584,0.037081167,0,4.28,4.86753445045558,2.47817515402236,2.47817515402236,"Anguilla australis"
"31",0.487382522,0.292541908,0.386335896,0.366791773,0.52447211,0.065195694,0,3.55,5.29831736654804,2.08258144103245,2.08258144103245,"Anguilla reinhardtii"
"32",0.32608484,0.31401802,0.152306862,0.393905601,0.577587199,0.037438892,0,3.83,5.02388052084628,2.80533529130476,2.80533529130476,"Anguilla rostrata"
"33",0.581351168,0.321428571,0.572288456,0.542793448,0.409644276,0.179561218,2.404761905,3.14,2.63905732961526,1.15968571673634,1.15968571673634,"Aphredoderus sayanus"
"34",0.437381228,0.381944444,0.221978663,0.42003019,0.410993707,0.223393187,2.734042553,3.36,4.55387689160054,1.01934472391033,1.01934472391033,"Aplodinotus grunniens"
"35",0.469524186,0.293550852,0.379556226,0.453896945,0.388464319,0.274854635,1.874929584,3,3.17805383034795,0.626023695145832,0.626023695145832,"Astronotus crassipinnis"
"36",0.558447672,0.414012739,0.525980351,0.50973695,0.178570269,0.209845244,3.390804598,2.9,2.04122032885964,0.967147700065274,0.967147700065274,"Astyanax lacustris"
"37",0.493886355,0.440611385,0.516996332,0.480657768,0.141085866,0.148993573,2.981330328,3.23,2.484906649788,1.03091944285291,1.03091944285291,"Astyanax mexicanus"
"38",0.61647139,0.35483871,0.61647139,0.406280307,0.359964352,0.094015532,2.15,4.02,5.72031177660741,1.89775083096065,1.89775083096065,"Atractosteus spatula"
"39",0.274447167,0.510871577,0.338350825,0.375280785,0.230597834,0.123774153,2.635863467,3.6,3.66356164612965,1.50671231920608,1.50671231920608,"Auchenipterus osteomystax"
"40",0.546839013,0.210480017,0,0.666999448,0.316571649,0.206441059,3.243004719,2.9,4.24849524204936,1.4546097635098,1.4546097635098,"Auchenoglanis occidentalis"
"41",0.453846291,0.42853271,0.440269744,0.351679644,0.303461752,0.173014329,2.800809928,3.21,3.68887945411394,1.11127039836179,1.11127039836179,"Ballerus ballerus"
"42",0.489219782,0.30066,0,0.673763644,0,0.144789579,1.754811321,3.28,3.04452243772342,1.90570718373028,1.82586266053405,"Barbatula barbatula"
"43",0.446466667,0.261306202,0,0.573333333,0,0.138528694,1.860930187,2.6,2.77258872223978,1.69744878975681,1.63340783085201,"Barbatula toni"
"44",0.371264757,0.23787234,0,0.388291764,0.239724726,0.155661105,2.304620804,3.1,4.78749174278205,1.40324301701519,1.40324301701519,"Barbus barbus"
"45",0.627147112,0.369288025,0.389645339,0.529538889,0.303137527,0.195501026,2.20932337,2.93,3.29583686600433,1.48826330118179,1.48826330118179,"Barbus meridionalis"
"46",0.459238245,0.503950374,0.36573788,0.354092467,0.308156845,0.17880226,2.999490653,3.17,3.8177123259569,0.910600736107886,0.910600736107886,"Blicca bjoerkna"
"47",0.566828108,0.434038488,0.654249056,0.444691259,0.205236517,0.208475612,3.620893334,3.26,2.99573227355399,1.04389500085406,1.04389500085406,"Brycinus imberi"
"48",0.440535356,0.523954547,0.463466429,0.544938657,0.172482712,0.197971734,3.557371748,2.22,2.79728133483015,1.07674051338093,1.07674051338093,"Bryconalestes longipinnis"
"49",0.526181128,0.376188172,0.625983886,0.346104464,0.28203234,0.19310107,3.096534887,2.75,3.97029191355212,1.17333364147497,1.17333364147497,"Brycinus macrolepidotus"
"50",0.472812653,0.590817334,0.542894173,0.58993576,0.121484654,0.184485626,3.174289642,2.46,3.2188758248682,1.29720096413914,1.29720096413914,"Brycinus nurse"
"51",0.443177065,0.334315442,0.429664205,0.391881936,0.183062089,0.181159402,2.897504925,2.7,4.38202663467388,1.08134935394084,1.08134935394084,"Brycon orbignyanus"
"52",0.540899385,0.2304875,0.204529035,0.642188579,0.22954228,0.153619026,2.45290566,2,3.09104245335832,1.40361305920286,1.40361305920286,"Campostoma anomalum"
"53",0.433969409,0.2075996,0.110064891,0.609792104,0.188743188,0.129409461,2.269095928,2,3.09104245335832,1.38599103987265,1.38599103987265,"Campostoma oligolepis"
"54",0.579396104,0.423519231,0.433485414,0.566220586,0.317595305,0.18022779,2.238595119,3.23443414954924,2.77258872223978,1.56448414659889,1.56448414659889,"Campostoma pauciradii"
"55",0.433144112,0.298611111,0,0.459578379,0.341194393,0.167,4.213361133,3.2,3.76120011569356,1.29035419018782,1.29035419018782,"Campylomormyrus tamandua"
"56",0.438711954,0.32616582,0.401780205,0.409389939,0.210317985,0.180506568,2.282849533,2,4.07753744390572,0.968593800468087,0.968593800468087,"Carassius auratus"
"57",0.524307878,0.292355157,0.475862214,0.384168607,0.270874978,0.182361334,1.701818629,3.11,4.15888308335967,0.76063927824906,0.76063927824906,"Carassius carassius"
"58",0.498755109,0.374346839,0.442976697,0.401313767,0.241731916,0.187138726,1.893603243,2.47,3.8416005411316,0.802482627600242,0.802482627600242,"Carassius gibelio"
"59",0.383156927,0.324786325,0.144056636,0.407628577,0.157679095,0.167496868,2.607196429,2,4.15888308335967,1.20527497393497,1.20527497393497,"Carpiodes carpio"
"60",0.438339662,0.345323741,0.152401953,0.489619365,0.092788153,0.191733432,2.748488331,2.59,4.18965474202643,1.08481286743847,1.08481286743847,"Carpiodes cyprinus"
"61",0.417264842,0.38966268,0.315598876,0.397542365,0.110083506,0.179895343,1.652119685,2.4,3.91202300542815,0.89858572271,0.89858572271,"Carpiodes velifer"
"62",0.484823034,0.342857143,0.147981516,0.487893277,0.218586643,0.113768197,2.322806452,2.54,4.15888308335967,1.60613779944641,1.54646027278759,"Catostomus catostomus"
"63",0.580539747,0.2170625,0.135292548,0.711364041,0.203138894,0.221114175,2.435085741,2.8,3.49650756146648,1.58049058519361,1.58235314049926,"Catostomus clarkii"
"64",0.610078423,0.246621622,0.115932379,0.610439093,0.231198905,0.125652695,2.682204545,2.77,3.40119738166216,1.60265284020429,1.65907887167437,"Catostomus columbianus"
"65",0.500010462,0.308510638,0.075563026,0.65561422,0.171247829,0.186912394,2.546542274,2.82,4.17438726989564,1.49912947039721,1.54776127437497,"Catostomus commersonii"
"66",0.595693687,0.164483871,0.20555339,0.604053001,0.160853468,0.149770716,2.773463501,2.8,3.71357206670431,1.70833055717748,1.6295398783902,"Catostomus discobolus"
"67",0.609203977,0.218701095,0.108996153,0.762749257,0.155399717,0.213375739,3.223650986,3.2,4.38202663467388,1.55710354958594,1.63161005721156,"Catostomus insignis"
"68",0.463524695,0.190292308,0,0.641823173,0.135266702,0.148675868,2.673334067,2.8,4.02535169073515,1.57861644944588,1.61487842754931,"Catostomus latipinnis"
"69",0.561867301,0.359526324,0.288381205,0.678482132,0.176263874,0.187696072,3.860465116,3.13,4.11087386417331,1.56435040750373,1.53831509758481,"Catostomus macrocheilus"
"70",0.715159097,0.195909484,0.492964197,0.586117122,0.291046795,0.170470624,3.115457206,2.8,4.0943445622221,1.62427794956089,1.62427794956089,"Catostomus occidentalis"
"71",0.535153703,0.345291662,0.187520873,0.588468695,0.195456497,0.184204963,2.898040816,2.30999994277954,3.2188758248682,1.63950100769272,1.51221208827799,"Catostomus platyrhynchus"
"72",0.441353568,0.44,0.476740565,0.47188954,0.290532952,0.23830257,2.015373078,3.18,3.37416870927424,0.757503860165347,0.757503860165347,"Centrarchus macropterus"
"73",0.661537221,0.477387413,0.646485784,0.398701742,0.719973048,0.197242778,3.557240412,2.84,4.07753744390572,1.4201877273954,1.4201877273954,"Chelon auratus"
"74",0.534372112,0.421724147,0.495619266,0.392515837,0.617923579,0.168065876,3.044644887,2.59,4.31748811353631,1.36574799756545,1.36574799756545,"Chelon labrosus"
"75",0.52997701,0.333333333,0.623279002,0.439128975,0.573287182,0.140881139,2.681247434,2.34,4.24849524204936,1.46802658537156,1.46802658537156,"Chelon ramada"
"76",0.468442813,0.363636364,0.321312998,0.418782789,0.276320498,0.15578047,2.31372549,2,3.91202300542815,1.37609465198954,1.37609465198954,"Chondrostoma nasus"
"77",0.586817568,0.243761879,0.318496329,0.693665092,0.383353725,0.225185543,2.109649708,2.6,2.89037175789616,0.946473595271353,0.946473595271353,"Chromidotilapia guntheri"
"78",0.5051697,0.493843471,0.451721269,0.448229468,0.228614335,0.164036255,2.313126362,2.5,2.2082744135228,1.37921271510049,1.37921271510049,"Chrosomus erythrogaster"
"79",0.578214897,0.364823048,0.177050763,0.649367477,0.133498106,0.201903646,2.163791952,2.69,3.93182563272433,1.53575936723266,1.54377515662693,"Chrysichthys maurus"
"80",0.560279837,0.470932203,0.153887009,0.696348009,0.142379563,0.21467508,2.296621503,3.17,4.17438726989564,1.52673305097155,1.52673305097155,"Chrysichthys nigrodigitatus"
"81",0.554794521,0.231638418,0.404109589,0.606164384,0.397260274,0.205189474,2.287037037,4.4,4.06902675423781,1.17041566671223,1.17041566671223,"Cichla kelberi"
"82",0.624557021,0.190751445,0.452628403,0.607013284,0.431575919,0.222781904,2.03960396,4.2,3.87120101090789,1.17850869794825,1.17850869794825,"Cichla piquiti"
"83",0.563144467,0.265152185,0.39472205,0.630029804,0.331504815,0.319424298,1.76896778,3.3,2.2512917986065,0.740220622480802,0.740220622480802,"Cichlasoma paranaense"
"84",0.439466415,0.38433779,0.412345643,0.308606724,0.219796987,0.190366198,3.596363339,2.4,2.89037175789616,0.673165121856913,0.673165121856913,"Citharinus eburneensis"
"85",0.505837062,0.310163008,0.33813714,0.362685299,0.413231508,0.14135765,2.029617647,3.35,4.60517018598809,1.69784300490095,1.48100201199623,"Clarias anguillaris"
"86",0.385256943,0.247510776,0.288181929,0.476944102,0.254536001,0.120818078,1.386320396,3.76,5.13579843705026,1.92120639352786,1.92120639352786,"Clarias gariepinus"
"87",0.550593468,0.486884548,0.52750556,0.538532132,0.168629287,0.206180917,2.659113636,2.74,2.484906649788,1.30424400127325,1.30424400127325,"Clinostomus funduloides"
"88",0.519076769,0.171414826,0,0.627406408,0.141795339,0.1147085,2.65221472298631,3.3,2.30258509299405,1.84815523764271,1.80032816589792,"Cobitis bilineata"
"89",0.555087153,0.2689542,0,0.761652615,0.113628616,0.15232585,2.035157895,3.3,2.68102152871429,2.00573140906977,1.93046086152259,"Cobitis elongatoides"
"90",0.618919452,0.286353167,0,0.802443882,0.161490015,0.114149461,1.9990005,3.3,2.63905732961526,1.90956044813086,1.99445265875906,"Cobitis taenia"
"91",0.60512985,0.289971434,0.423569712,0.593237265,0.305739307,0.365538462,2,2.4,3.68887945411394,0.753453832770579,0.753453832770579,"Coptodon dageti"
"92",0.604780074,0.2834498,0.360711056,0.615447388,0.348904229,0.280314529,2.642307933,2.51,3.68887945411394,0.923762947209114,0.923762947209114,"Coptodon zillii"
"93",0.552868056,0.59387889,0.552868056,0.4445,0.267979167,0.150450051,2.909159074,3.05999994277954,3.87120101090789,1.49949593031227,1.49949593031227,"Coregonus albula"
"94",0.535312147,0.433651344,0.480285458,0.34440707,0.288432317,0.126790896,3.023632403,3.13,4.29045944114839,1.44157156293679,1.44157156293679,"Coregonus lavaretus"
"95",0.592879257,0.378948617,0.324180634,0.629956229,0.826080922,0.282100735,2.666666667,3.3,3.04452243772342,1.65668449026783,1.65668449026783,"Cottus amblystomopsis"
"96",0.75187192,0.385627806,0.435251994,0.748890462,0.75187192,0.298745377,2.676038174,3.29,2.70805020110221,1.51747415700066,1.51747415700066,"Cottus bairdii"
"97",0.752451413,0.473960608,0.359083976,0.879260789,0.465441566,0.262260824,2.23951481892139,3.2,1.84054963339749,1.66265686246614,1.66265686246614,"Cottus caeruleomentum"
"98",0.663106033,0.538563346,0.358147097,0.692045246,0.59219103,0.286074536,2.316485951,3.3,2.89037175789616,1.53046009278267,1.53046009278267,"Cottus carolinae"
"99",0.647497918,0.481879769,0.345713302,0.703465025,0.614783583,0.295193866,1.885733263,3.37,2.4932054526027,1.63235968718699,1.63235968718699,"Cottus cognatus"
