SourceID,SiteID,TimeSeriesID,Protocol,Latitude,Longitude,BioRealm,HydroBasin,Country,Region,Province,Waterbody,
1,S6480,G11,Electrofishing,42.27658248,2.160218,Palearctic,2080016980,ESP,CATALUNA,BARCELONA,RIERA D'AVENCO,
1,S6481,G12,Electrofishing,42.22871165,2.140361,Palearctic,2080016980,ESP,CATALUNA,BARCELONA,CONGOST,
1,S6482,G13,Electrofishing,42.32503548,2.392924,Palearctic,2080016980,ESP,CATALUNA,BARCELONA,CONGOST,
1,S6483,G14,Electrofishing,41.26852937,1.634592,Palearctic,2080016980,ESP,CATALUNA,BARCELONA,RIERA DE CANOVES,
1,S6484,G15,Electrofishing,41.40771808,1.531304,Palearctic,2080016980,ESP,CATALUNA,BARCELONA,TENES,
1,S6485,G16,Electrofishing,41.42364658,1.205797,Palearctic,2080016980,ESP,CATALUNA,BARCELONA,TENES,
1,S6486,G17,Electrofishing,41.32703395,1.183812,Palearctic,2080016980,ESP,CATALUNA,BARCELONA,TENES,
1,S6487,G18,Electrofishing,41.26688746,1.138923,Palearctic,2080016980,ESP,CATALUNA,BARCELONA,RIPOLL,
1,S9028,G20,Electrofishing,42.23780242,1.904132,Palearctic,2080016940,ESP,CATALUNA,GIRONA,DARO,
1,S9506,G50,Electrofishing,42.19221906,2.511348,Palearctic,2080016840,ESP,CATALUNA,GIRONA,REC MADRAL,
2,S12829,G60,Electrofishing,-20.67463,-50.02154,Neotropics,6080016970,BRA,SAO PAULO,NHANDEARA,CORREGO JOSE DE PAULA,
2,S12838,G69,Electrofishing,-20.60282,-50.42269,Neotropics,6080016970,BRA,SAO PAULO,GENERAL SALGADO,UNNAMED TRIBUTARY RIBEIRAO BURITIS,
2,S12839,G70,Electrofishing,-20.62899,-50.37208,Neotropics,6080016970,BRA,SAO PAULO,GENERAL SALGADO,UNNAMED TRIBUTARY RIBEIRAO BURITIS,
2,S12840,G71,Electrofishing,-20.6061,-50.56853,Neotropics,6080016970,BRA,SAO PAULO,AURIFLAMA,UNNAMED TRIBUTARY CORREGO DO LIMOEIRO,
2,S12841,G72,Electrofishing,-20.59743,-50.7586,Neotropics,6080016970,BRA,SAO PAULO,GUZOLANDIA,CORREGO ARAUNA,
2,S12842,G73,Electrofishing,-20.52501,-51.0495,Neotropics,6080016970,BRA,SAO PAULO,SUZANO,CORREGO RANCHINHO,
2,S12843,G74,Electrofishing,-20.38329,-50.5862,Neotropics,6080016970,BRA,SAO PAULO,JALES,CORREGO PIMENTA,
2,S12844,G75,Electrofishing,-20.71507,-49.71044,Neotropics,6080016970,BRA,SAO PAULO,MONTE APRAZIVEL,CORREGO DAS CANOAS,
2,S12845,G76,Electrofishing,-20.34792,-50.67898,Neotropics,6080016970,BRA,SAO PAULO,SAO FRANCISCO,CORREGO BARRO PRETO,
