"","Effect_Size","Mean_Estimate","CI_Lower","CI_Upper","PI_Lower","PI_Upper"
"(Intercept)",2.26754890483714,-2.26754890483714,-2.2873433860347,-2.24775442363957,-5.14297831208187,0.62686742104578
"taxnovelTRUE",1.31635597501518,-0.951192929821956,-1.13442598199236,-0.767959877651556,-5.06404420570569,0.70595840530157
"bin.lagS",0.0763735129833142,0.0763735129833142,0.0563255459224769,0.0964214800441515,-5.16142058490556,0.608326979480453
"logYr_posS",0.0375610613099605,0.0375610613099605,0.0177769759067627,0.0573451467131583,-5.09018253784797,0.67961743055618
