"","Effect_Size","Mean_Estimate","CI_Lower","CI_Upper","PI_Lower","PI_Upper"
"(Intercept)",0.00430382333443811,-0.00430382333443811,-0.00839335250986354,-0.000214294159012688,-0.619291177100375,0.608491655528084
"taxnovelTRUE",0.0573064389543004,-0.0616102622887385,-0.100586589156484,-0.0226339354209933,-0.619142301304412,0.608671632431096
"bin.lagS",0.000546137147955769,0.000546137147955769,-0.00354286968977751,0.00463514398568905,-0.618849021675908,0.60891421922041
"logYr_posS",0.000878241856995555,-0.000878241856995555,-0.00496575939650025,0.00320927568250914,-0.618508552333473,0.609264939414582
