"","SpecCode","Suporder","Order","Family","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","Type.of.illustration","Reference","Species"
"13",3357,"Teleostei","Perciformes","Centrarchidae",21,2.371347237,0.475158786,0.351952974,0.434134246,0.387640189,0.447751373,0.330454297,0.200199785,2.034488027,"Photograph","New York State Department of Environmental Conservation (http://www.dec.ny.gov/)","Acantharchus pomotis"
"14",50683,"Teleostei","Siluriformes","Loricariidae",21,5.114169373,0.675119839,0.153617933,0,0,0.938147518,0,0.369322717,5.829268293,"Photograph","Unpublished","Acanthicus adonis"
"15",13268,"Teleostei","Siluriformes","Loricariidae",53,4.535059574,0.595910568,0.144950084,0,0,0.788150661,0,0.404231541,7.734895107,"Photograph","Unpublished","Acanthicus hystrix"
"16",4515,"Teleostei","Cypriniformes","Cyprinidae",12,4.039545634,0.469735943,0.559501195,0.389691334,0.324468411,0.587077742,0.194958089,0.190874298,3.088653369,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Acanthobrama lissneri"
"17",52603,"Teleostei","Cypriniformes","Cyprinidae",29,2.932507764,0.452085707,0.395881782,0.397535581,0.517164374,0.362686284,0.262031638,0.160662551,2.676015867,"Drawing","Brian Coad's Ichthylolgy Site  (briancoad.com)","Acanthobrama marmid"
"18",48174,"Teleostei","Cypriniformes","Cyprinidae",25,4.04526378,0.573422018,0.385131091,0.511454198,0.470654256,0.506227084,0.301665101,0.166682585,2.626233463,"Drawing","Brian Coad's Ichthylolgy Site  (briancoad.com)","Acanthobrama microlepis"
"19",55292,"Teleostei","Cypriniformes","Cyprinidae",9.7,3.486388456,0.643125777,0.415651858,0.521345733,0.551112611,0.606036287,0.307070135,0.177954608,1.981226415,"Photograph","Froese, R. and D. Pauly. Editors. 2021. FishBase. (www.fishbase.org)","Acanthobrama persidis"
"20",26480,"Teleostei","Cypriniformes","Cyprinidae",11,3.712732336,0.458151922,0.530612245,0.458151922,0.33624111,0.548511504,0.217760294,0.16045598,2.245078683,"Photograph","IUCN Red List of Threatened Species (iucnredlist.org)","Acanthobrama telavivensis"
"21",55146,"Teleostei","Cypriniformes","Cyprinidae",NA,3.569039368,0.535409531,0.472220512,0.498662716,0.418108225,0.435545605,0.259862049,0.179167606,2.484185378,"Drawing","Brian Coad's Ichthylolgy Site  (briancoad.com)","Acanthobrama urmianus"
"22",51803,"Teleostei","Characiformes","Characidae",8.5,2.561653574,0.596713231,0.44295677,0.645220915,0.427611996,0.551315774,0.210897049,NA,4.42682064,"Photograph","Encyclopedia of Life, Smithsonian Museum (https://eol.org/)","Acanthocharax microlepis"
"23",9474,"Teleostei","Siluriformes","Mochokidae",6,5.572815534,0.638368932,0.28313253,0,NA,0.805825243,0.281553398,0.236794425,1.677922222,"Photograph","All Catfish Species Inventory, US National Science Foundation's Biotic Surveys & Inventories Program (http://silurus.acnatsci.org/)","Acanthocleithron chapini"
