"","SourceID","SiteID","TimeSeriesID","Protocol","Latitude","Longitude","BioRealm","HydroBasin","Country","Region","Province","Waterbody","X"
"38",6,"S8096","G193","Electrofishing_backpack",-26.97856,152.3336,"Australasia",5080070390,"AUS","QUEENSLAND","ESK","MARONGHI CREEK",""
"39",6,"S8097","G194","Electrofishing_backpack",-27.03113,152.3361,"Australasia",5080070390,"AUS","QUEENSLAND","ESK","IVORY CREEK",""
"40",6,"S8100","G197","Electrofishing_backpack",-27.2282,152.4379,"Australasia",5080070390,"AUS","QUEENSLAND","ESK","ESK CREEK",""
"41",6,"S8110","G207","Electrofishing_backpack",-27.4949,152.0878,"Australasia",5080070390,"AUS","QUEENSLAND","GATTON","MURPHYS CREEK",""
"42",6,"S8113","G210","Electrofishing_backpack",-27.6646,152.0606,"Australasia",5080070390,"AUS","QUEENSLAND","GATTON","STOCKYARD CREEK",""
"43",6,"S8114","G211","Electrofishing_backpack",-27.86752,152.2301,"Australasia",5080070390,"AUS","QUEENSLAND","GATTON","BLACKFELLOW CREEK",""
"44",6,"S8115","G212","Electrofishing_backpack",-27.85021,152.3909,"Australasia",5080070390,"AUS","QUEENSLAND","LAIDLEY","LAIDLEY CREEK",""
"45",6,"S8116","G213","Electrofishing_backpack",-27.60235,152.377,"Australasia",5080070390,"AUS","QUEENSLAND","LAIDLEY","LAIDLEY CREEK",""
"46",6,"S8119","G216","Electrofishing_backpack",-27.9886,152.4784,"Australasia",5080070390,"AUS","QUEENSLAND","BOONAH","WARRILL CREEK",""
"47",6,"S8120","G217","Electrofishing_backpack",-28.01237,152.5596,"Australasia",5080070390,"AUS","QUEENSLAND","BOONAH","REYNOLDS CREEK",""
"48",6,"S8121","G218","Electrofishing_backpack",-27.83204,152.5095,"Australasia",5080070390,"AUS","QUEENSLAND","BOONAH","BREMER RIVER",""
"49",6,"S8122","G219","Electrofishing_backpack",-27.66316,152.4614,"Australasia",5080070390,"AUS","QUEENSLAND","IPSWICH - SOUTH-WEST","WESTERN CREEK",""
"50",6,"S8126","G223","Electrofishing_backpack",-27.78081,152.7319,"Australasia",5080070390,"AUS","QUEENSLAND","IPSWICH - SOUTH-WEST","PURGA CREEK",""
"51",6,"S8128","G225","Electrofishing_backpack",-27.4407,152.8905,"Australasia",5080070390,"AUS","QUEENSLAND","BROOKFIELD (INCL. BRISBANE FOREST PARK)","ENOGGERA CREEK",""
"52",6,"S8129","G226","Electrofishing_backpack",-27.51293,153.0388,"Australasia",5080070390,"AUS","QUEENSLAND","ANNERLEY","NORMAN CREEK",""
"53",6,"S8130","G227","Electrofishing_backpack",-27.553,153.1121,"Australasia",5080070390,"AUS","QUEENSLAND","WISHART","BULIMBA CREEK",""
"54",6,"S8131","G228","Electrofishing_backpack",-27.59496,152.9396,"Australasia",5080070390,"AUS","QUEENSLAND","WACOL","BULLOCKHEAD CREEK",""
"55",6,"S8133","G230","Electrofishing_backpack",-26.9032,151.9771,"Australasia",5080070390,"AUS","QUEENSLAND","ROSALIE - PT B","COOYAR CREEK",""
"56",6,"S8135","G232","Electrofishing_backpack",-27.6214,152.9792,"Australasia",5080070390,"AUS","QUEENSLAND","DOOLANDELLA-FOREST LAKE","BLUNDER CREEK",""
"57",6,"S8191","G239","Electrofishing_backpack",-28.0994,152.8708,"Australasia",5080070440,"AUS","QUEENSLAND","BEAUDESERT  - PT C","CANNON CREEK",""
"58",6,"S8196","G244","Electrofishing_backpack",-27.9312,152.9488,"Australasia",5080070440,"AUS","QUEENSLAND","BEAUDESERT  - PT C","ALLAN CREEK",""
"59",6,"S8202","G250","Electrofishing_backpack",-28.1701,152.6803,"Australasia",5080070440,"AUS","QUEENSLAND","BOONAH","BURNETT CREEK",""
"60",6,"S8204","G252","Electrofishing_backpack",-27.6632,153.2076,"Australasia",5080070440,"AUS","QUEENSLAND","CARBROOK-CORNUBIA","UNNAMED TRIBUTARY CALIFORNIA CREEK",""
"61",6,"S8205","G253","Electrofishing_backpack",-27.64421,153.136,"Australasia",5080070440,"AUS","QUEENSLAND","SLACKS CREEK","SLACKS CREEK",""
"62",6,"S8207","G255","Electrofishing_backpack",-27.5866,153.2551,"Australasia",5080070400,"AUS","QUEENSLAND","THORNLANDS","EPRAPAH CREEK",""
"63",6,"S8208","G256","Electrofishing_backpack",-27.5192,153.2456,"Australasia",5080070400,"AUS","QUEENSLAND","ALEXANDRA HILLS","HILLIARDS CREEK",""
