"","Species","MBl","BEl","VEp","REs","OGp","RMl","BLs","PFv","PFs","CPt","troph_level"
"104","Cottus rhotheus",16,4.373716866,0.520844539,0.36307513,0.202081802,0.57762516,0.611105219,0.587166006,0.301703517,3.3335,3.37
"105","Craterocephalus marjoriae",8.5,3.803013435,0.454902979,0.610774049,0.323849984,0.499762864,0.610609859,0.647504627,0.157448505,1.712873238,2.93
"106","Craterocephalus stercusmuscarum",7,5.209170398,0.374733386,0.616854227,0.43639795,0.384244962,0.640040648,0.549330534,0.121343863,3.416409317,3.2
"107","Crenicichla britskii",14.5,3.57339549,0.557877507,0.477462538,0.511778465,0.530409841,0.53261022,0.431994383,0.196652595,1.593277108,3.14
"108","Crenicichla haroldoi",10,4.044994444,0.666666667,0.281690141,0.488888889,0.410147887,0.788888889,0.438888889,0.197341296,1.149958829,3.2
"109","Crystallaria asprella",16,7.364824306,0.594280525,0.56639759,0.280001847,0.587650602,0.638746518,0.594280525,0.210502612,2.529490196,3.5
"110","Ctenopharyngodon idella",150,3.96310134,0.398785288,0.255772415,0.351890272,0.447552663,0.48132923,0.226864539,0.178111854,2.281579999,2
"111","Ctenopoma kingsleyae",24,2.498978571,0.445592857,0.384124309,0.445592857,0.4718311,0.440835714,0.334864286,0.217568892,1.975775424,3.2
"112","Culaea inconstans",9,3.998048303,0.436867916,0.588235294,0.507994862,0.42889916,0.56303509,0.409092307,0.183675136,5.065428451,3.19
"113","Cycleptus elongatus",93,4.248591938,0.314704258,0.274193548,0,0.210290323,0.402767402,0.158177153,0.148441836,1.934759881,3.1
"114","Cyphocharax modestus",16.2,2.861813512,0.480579203,0.474956366,0.402767802,0.208618231,0.430645322,0.205541199,0.181637614,2.721153846,NA
"115","Cyphocharax naegelii",19,2.913862901,0.530277683,0.462904441,0.51438423,0.196057676,0.466738579,0.212484661,0.183187597,1.76766234,NA
"116","Cyprinella analostana",11,4.040034178,0.491922529,0.492905413,0.416872686,0.534253733,0.490583879,0.187878097,0.162729052,2.811663331,3.2
"117","Cyprinella galactura",15,4.145951222,0.465020717,0.405388971,0.389543416,0.500608083,0.505136484,0.17918649,0.166260006,2.417013423,3.2
"118","Cyprinella lepida",8,3.624058552,0.529035439,0.468262896,0.454329738,0.433195851,0.517784284,0.247876733,0.168338284,2.293701204,3.1
"119","Cyprinella lutrensis",9,3.479371938,0.431196217,0.509870558,0.32721418,0.44082163,0.458913598,0.206441166,0.192250141,3.221512519,2.82
"120","Cyprinella monacha",11,5.393854454,0.463721223,0.454054765,0.315386373,0.486822065,0.534625892,0.109385254,0.1229732,2.826502693,3.2
"121","Cyprinella proserpina",8,4.116649318,0.458700446,0.413335238,0.313484236,0.390778534,0.592865334,0.186182319,0.173418738,2.199970002,3.1
"122","Cyprinella spiloptera",12,3.696972329,0.553650553,0.403492845,0.553650553,0.42249648,0.471444611,0.19916508,0.171389262,2.716643102,2.83
"123","Cyprinella venusta",19,4.506285107,0.52538652,0.490818503,0.477607597,0.4390022,0.586050109,0.215064726,0.157524414,2.698508362,3.2
"124","Cyprinella whipplei",16,4.37251932,0.545951868,0.472292821,0.478992802,0.549636821,0.529429931,0.22427041,0.17938611,2.50534867,3.2
"125","Cyprinodon pecosensis",5,2.849703418,0.534131017,0.409638095,0.490224405,0.278152381,0.594863776,0.260975237,0.189877218,1.63859062,2.7
"126","Cyprinodon rubrofluviatilis",6,3.197665794,0.54054073,0.441087541,0.459508249,0.175761255,0.587791601,0.308106747,0.226641342,1.873054769,2.6
"127","Cyprinus carpio",120,3.481135273,0.510936185,0.182045455,0.307949315,0.346172727,0.48104781,0.258020926,0.178656382,2.637145238,3.06
"128","Dionda serena",7.7,3.910789894,0.521779119,0.58928703,0.334462646,0.268601046,0.499438131,0.321345677,0.16547368,1.666612748,2.9
"129","Distichodus rostratus",76,2.719421857,0.401146984,0.396926724,0.260389641,0.254564655,0.288549318,0.22788058,0.16465864,2.491256266,2.57999992370605
"130","Dorosoma cepedianum",57,2.779845316,0.478791768,0.378720949,0.444745653,0.329398187,0.274628915,0.287958974,0.180492429,3.314939167,2.4
"131","Dorosoma petenense",33,2.98532351,0.540722766,0.416666667,0.521677715,0.220087963,0.422007702,0.248845828,0.182166943,2.6905,2.76
"132","Eigenmannia trilineata",25,7.332540566,0.519872332,0.238683014,0.467018471,0.394635407,0.429185523,0.321154546,0.060362055,0,3.05
"133","Elassoma zonatum",5,3.631456277,0.459604647,0.439387628,0.411120251,0.471297646,0.59838967,0.299132516,NA,2.496689569,3.7
"134","Enneacanthus gloriosus",10,2.073957733,0.530614596,0.317870588,0.453109366,0.316552941,0.515448288,0.291082745,0.226279656,1.944444444,3.13
"135","Enteromius chlorotaenia",9.7,3.886127454,0.440768173,0.586708641,0.294118159,NA,0.526676299,0.189127559,0.150093897,2.017189062,3
"136","Enteromius foutensis",9,3.233995825,0.666731338,0.400968283,0.634501812,0.252563103,0.517752237,0.295319618,0.188060174,1.301662144,3
"137","Enteromius macrops",16.9,3.354220611,0.559662192,0.516906551,0.400573637,0.360449313,0.486563359,0.355192606,0.153736891,1.576506507,3.04
"138","Enteromius trispilos",10.5,3.23138093,0.456079065,0.496785493,0.351671241,0.299792819,0.50792497,0.16728685,0.180796954,1.885255015,3
"139","Erimyzon oblongus",38,3.883303898,0.532682945,0.429971816,0.339650323,0.258755354,0.531608309,0.17446167,0.206479227,2.328967997,2.97
"140","Erimyzon sucetta",41,3.291226707,0.461644924,0.337661202,0.332320811,0.25607377,0.530414796,0.135406492,0.188905308,2.40081382,3.05
"141","Esox americanus",39.4,6.450195044,0.744244822,0.372370968,0.640558211,1.327096774,0.681281248,0.155782649,0.088356048,2.237455965,3.65
"142","Esox lucius",150,6.005228693,0.621035943,0.264733496,0.459201629,1.280487591,0.625750807,0.165010858,0.106231483,2.459066917,4.07
"143","Esox masquinongy",183,6.598839229,0.566998037,0.294387285,0.446873451,1.314136387,0.546651367,0.072206675,0.091179772,2.723833544,4.5
"144","Esox niger",99,6.424508474,0.500395009,0.392100069,0.277699107,1.619921565,0.581528463,0.105877443,0.093528785,2.947443182,3.29
"145","Etheostoma asprigene",7.1,4.424318551,0.59948383,0.514634511,0.484007041,0.428283432,0.580929901,0.416156702,0.214599498,1.789339988,3.3
"146","Etheostoma blennioides",17,5.840450977,0.594983726,0.397856401,0.166635401,0.33812632,0.690483337,0.508732519,0.284115291,2.141547981,3.36
"147","Etheostoma caeruleum",8,3.909328028,0.603726159,0.44752457,0.422691676,0.471627613,0.480023999,0.393179235,0.268192561,2.853544118,3.3
"148","Etheostoma chlorobranchium",11,4.085016686,0.689274372,0.343838081,0.441680504,0.424514539,0.569112834,0.477123603,NA,1.667593014,3.4
"149","Etheostoma chlorosomum",6,6.82194977,0.655609935,0.422261101,0.311142097,0.368082979,0.666792585,0.427751637,0.18504087,1.898615937,3.2
"150","Etheostoma cragini",6,4.364342724,0.507232588,0.402444975,0.329034304,0.359969641,0.649999119,0.578607044,NA,2.167778485,3.2
"151","Etheostoma exile",7.2,5.410309656,0.573609863,0.507950352,0.375217039,0.421133848,0.650242996,0.474544328,0.247037081,3.028297082,3.52
"152","Etheostoma flabellare",8.4,4.08668486,0.506646762,0.3877,0.374191108,0.375,0.540387187,0.43230975,0.249783058,2.329290943,3.24
"153","Etheostoma fusiforme",6,5.785706768,0.580092048,0.474648214,0.404914315,0.46159734,0.618786539,0.414669269,0.198482643,1.562044534,3.2
"154","Etheostoma gracile",6,5.046387097,0.480502304,0.623748704,0.337108295,0.50476265,0.589020737,0.417152074,0.21884343,2.388135727,3.2
"155","Etheostoma histrio",8,5.208164031,0.591085253,0.500535619,0.226725473,0.400910552,0.665753296,0.445343218,0.221618427,1.599680064,3.3
"156","Etheostoma lepidum",7,5.142757448,0.60123025,0.411703746,0.426241428,0.484069411,0.568568456,0.473608552,0.195976653,1.510893822,3.3
"157","Etheostoma microperca",4.4,5.238445661,0.650001923,0.575125518,0.535252112,0.486206537,0.615389546,0.39750516,0.229096142,2.971153756,3.5
"158","Etheostoma nigrum",7.2,4.962818447,0.603186296,0.435857143,0.381173652,0.427396825,0.5100017,0.440641469,0.220234173,2.640049991,3.19
"159","Etheostoma olmstedi",11,4.680383884,0.486910139,0.49017205,0.160576934,0.579731386,0.595288117,0.340493948,0.283085152,2.364298336,2.92
"160","Etheostoma proeliare",5,4.959452794,0.605874762,0.553986748,0.411086912,0.328857013,0.561176664,0.409985563,0.245975708,2.755533436,3.2
"161","Etheostoma radiosum",8.5,4.789271279,0.601878238,0.470589348,0.358899516,0.534124928,0.610184939,0.450357842,0.238243751,1.917457863,3.3
"162","Etheostoma serrifer",7,5.179538462,0.601205128,0.578120911,0.455564103,0.381052081,0.489871795,0.380410256,NA,2.096309867,3.3
"163","Etheostoma spectabile",7.2,3.886861888,0.575635278,0.461656883,0.389937542,0.468164414,0.558254842,0.385813585,0.260468055,2.496837683,3.29
"164","Etheostoma vitreum",7,6.545912091,0.505743575,0.493916995,0.20229743,0.422608262,0.585912091,0.505743575,0.281354905,2.317464286,3.3
"165","Etheostoma vulneratum",8.1,4.359302439,0.65168402,0.353451399,0.501845334,0.319225113,0.573434521,0.483196461,0.205470504,1.782876769,3.3
"166","Etheostoma whipplei",9,5.946098535,0.623871202,0.489818263,0.429478271,0.562729152,0.672204334,0.500016947,0.216077452,1.709580911,3.3
"167","Etheostoma zonale",8,4.415641976,0.618890756,0.416980749,0.376484423,0.381423709,0.57774074,0.463404129,0.2659107,2.497841789,3.3
"168","Exoglossum maxillingua",16,4.092812974,0.599527324,0.375121795,0.350131081,0.313054487,0.555670331,0.321350208,0.146978154,1.969072165,3.04
"169","Fundulus catenatus",20,4.826870829,0.522369984,0.510178052,0.358459621,0.278501097,0.572009724,0.375528571,0.150958363,1.83740391,3.4
"170","Fundulus diaphanus",13,4.689666284,0.58715416,0.538680769,0.479214184,0.172003846,0.594206939,0.424298036,0.167607131,2.089562069,3.3
"171","Fundulus dispar",6,3.920713259,0.531593899,0.574502465,0.627629746,0.218929183,0.541826591,0.340017215,0.157034356,1.695433952,3.2
"172","Fundulus notatus",8,3.961130538,0.608912781,0.563897857,0.681734649,0.286430049,0.516458401,0.397410717,0.162060352,2.020754127,3.08
"173","Fundulus olivaceus",8,4.667884279,0.534391534,0.589536922,0.590762169,0.21182721,0.507367755,0.414500799,0.179677646,1.872983871,3.2
"174","Fundulus sciadicus",9,4.591018502,0.443961198,0.552125711,0.518600399,0.30116649,0.53580099,0.21754357,0.161341206,1.553720729,3.2
"175","Fundulus stellifer",18,4.109168109,0.459033621,0.517121712,0.321305351,0.266099667,0.538942561,0.311535764,0.169022721,1.696445976,3.4
"176","Fundulus zebrinus",8,4.273502076,0.659712906,0.445132448,0.558563407,0.18523352,0.578589273,0.412253291,0.135350486,1.718153404,3.2
"177","Gambusia affinis",7,3.940527865,0.573964998,0.552445804,0.675867694,0.332886908,0.46713006,0.512553076,0.168330473,1.941879016,3.07
"178","Gambusia holbrooki",8,3.538037438,0.474599696,0.583510123,0.573699656,0.284539713,0.484924869,0.432610341,0.18754181,2.135950413,3.1
"179","Gasterosteus aculeatus",11,4.045420061,0.571305628,0.603812088,0.501718631,0.409239693,0.565954685,0.489701434,0.158644254,4.080636108,3.31
"180","Geophagus brasiliensis",28,2.285881462,0.602013547,0.29882545,0.282590439,0.195562497,0.639890812,0.368095761,0.295773511,1.936437543,2.57
