"","Site","Country","HydroBasin","taxnovel","funcnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"1224","G7539","FRA",2080021560,FALSE,FALSE,0,484,0.88,0.657558388699499,2.04789070797435
"1225","G7540","FRA",2080021600,FALSE,FALSE,0,529,1,1.2788987315032,2.32509948688766
"1226","G7541","FRA",2080021110,FALSE,FALSE,0,225,0.652173913043478,-0.522087769377089,0.452400180451048
"1227","G7543","FRA",2080021690,FALSE,FALSE,0,256,0.941176470588235,0.974320132089619,0.643366228146887
"1228","G7545","FRA",2080021720,FALSE,FALSE,0,256,0.8,0.243331493497033,0.643366228146887
"1229","G7547","FRA",2080021110,FALSE,FALSE,0,185,0.756232686980609,0.0167115162048252,0.205992376972546
"1230","G7548","FRA",2080021730,FALSE,FALSE,0,81,0.5,-1.31001936351221,-0.43466791207156
"1231","G7550","FRA",2080021110,FALSE,FALSE,0,144,0.571428571428571,-0.940173921367155,-0.0465756215929189
"1232","G7551","FRA",2080021610,FALSE,FALSE,0,81,1,1.2788987315032,-0.43466791207156
"1233","G7553","FRA",2080021560,FALSE,FALSE,0,64,1,1.2788987315032,-0.539391228549923
"1234","G7554","FRA",2080021560,FALSE,FALSE,0,49,0.875,0.631669207749345,-0.631794154854362
"1235","G7555","FRA",2080021260,FALSE,FALSE,0,36,0.857142857142857,0.53920784721308,-0.711876690984875
"1236","G7556","FRA",2080021260,FALSE,FALSE,0,64,1,1.2788987315032,-0.539391228549923
"1237","G7557","FRA",2080021260,FALSE,FALSE,0,36,0.857142857142857,0.53920784721308,-0.711876690984875
"1238","G7558","FRA",2080021260,FALSE,FALSE,0,36,0.857142857142857,0.53920784721308,-0.711876690984875
"1239","G7559","FRA",2080021220,FALSE,FALSE,0,121,0.846153846153846,0.482308548421532,-0.188260108593058
"1240","G7561","FRA",2080021110,FALSE,FALSE,0,441,0.954545454545455,1.04354254104725,1.78300231923496
"1241","G7563","FRA",2080021110,FALSE,FALSE,0,36,1,1.2788987315032,-0.711876690984875
"1242","G7565","FRA",2080021220,FALSE,FALSE,0,256,0.727272727272727,-0.133238411232481,0.643366228146887
