"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"172","G7887","FRA","2080022150",TRUE,FALSE,0,100,0.625,-0.698168868767978,-0.278492859561226
"173","G7901","FRA","2080022150",TRUE,FALSE,0,169,0.722222222222222,-0.19391060265235,0.178085826516941
"174","G7913","FRA","2080023010",TRUE,FALSE,0,557,0.67963567963568,-0.414792368504857,2.74551380040576
"175","G7918","FRA","2080022150",TRUE,FALSE,0,100,0.714285714285714,-0.235074542743421,-0.278492859561226
"176","G7934","FRA","2080022150",TRUE,FALSE,0,314,1,1.24682730053516,1.13756277552178
"177","G7968","FRA","2080023010",TRUE,TRUE,1,100,0.526315789473684,-1.21000996595301,-0.278492859561226
"178","G7975","FRA","2080016750",TRUE,FALSE,0,196,0.933333333333333,0.901050203770156,0.356747051504049
"179","G7979","FRA","2080016510",TRUE,FALSE,0,100,1,1.24682730053516,-0.278492859561226
"180","G7981","FRA","2080020590",TRUE,FALSE,0,169,1,1.24682730053516,0.178085826516941
"181","G8064","FRA","2080020460",TRUE,FALSE,0,225,0.833333333333333,0.382384558622653,0.548642441305018
"182","G8094","FRA","2080021030",TRUE,FALSE,0,49,0.4375,-1.67066695341955,-0.615964062314653
"183","G8117","FRA","2080023010",TRUE,FALSE,0,542,0.725432462274567,-0.17726019037407,2.64625756430181
"184","G8140","FRA","2080023010",TRUE,FALSE,0,425,0.883493914807302,0.642550262134353,1.87205892269101
"185","G8143","FRA","2080023010",TRUE,FALSE,0,637,0.814027149321267,0.282250014763105,3.27488039296016
"186","G8170","FRA","2080023010",TRUE,FALSE,0,81,0.5,-1.34650092520236,-0.404217425292895
"187","G8215","FRA","2080023010",TRUE,TRUE,1,169,0.619047619047619,-0.729041823836281,0.178085826516941
"188","G8244","FRA","2080020330",TRUE,FALSE,0,324,0.947368421052632,0.973845382036472,1.20373359959108
"189","G8249","FRA","2080020330",TRUE,FALSE,0,49,1,1.24682730053516,-0.615964062314653
"190","G8250","FRA","2080020330",TRUE,TRUE,1,64,0.8,0.209496010240152,-0.516707826210704
"191","G8252","FRA","2080020590",TRUE,FALSE,0,361,1,1.24682730053516,1.44856564864749
"192","G8253","FRA","2080020590",TRUE,FALSE,0,324,1,1.24682730053516,1.20373359959108
"193","G8265","FRA","2080020590",TRUE,FALSE,0,81,0.5,-1.34650092520236,-0.404217425292895
"194","G8280","FRA","2080020590",TRUE,FALSE,0,256,0.888888888888889,0.670532139260154,0.753771995919846
"195","G8293","FRA","2080020590",TRUE,FALSE,0,289,1,1.24682730053516,0.972135715348535
"196","G8317","FRA","2080020590",TRUE,FALSE,0,144,0.631578947368421,-0.664046128955642,0.0126587663436921
"197","G8389","FRA","2080022770",TRUE,FALSE,0,61,0.924242424242424,0.85389878148402,-0.536559073431494
"198","G8425","FRA","2080020590",TRUE,TRUE,0,196,0.777777777777778,0.0942369779851517,0.356747051504049
"199","G8438","FRA","2080021030",TRUE,TRUE,0,196,0.736842105263158,-0.118082291958271,0.356747051504049
"200","G8449","FRA","2080020910",TRUE,TRUE,0,81,0.529411764705882,-1.19395220604133,-0.404217425292895
"201","G8451","FRA","2080020840",TRUE,TRUE,1,64,0.470588235294118,-1.49904964436339,-0.516707826210704
"202","G8464","FRA","2080021030",TRUE,FALSE,0,121,0.578947368421053,-0.937028047454327,-0.139534129015697
"203","G8467","FRA","2080021030",TRUE,FALSE,0,144,0.666666666666667,-0.482058183289852,0.0126587663436921
"204","G8500","FRA","2080020330",TRUE,FALSE,0,289,0.894736842105263,0.700863463537787,0.972135715348535
"205","G8503","FRA","2080020330",TRUE,FALSE,0,25,0.454545454545455,-1.58225803663304,-0.774774040080972
"206","G8557","FRA","2080021030",TRUE,TRUE,1,289,0.944444444444444,0.958679719897656,0.972135715348535
"207","G8558","FRA","2080021030",TRUE,FALSE,0,169,0.722222222222222,-0.19391060265235,0.178085826516941
"208","G8724","FRA","2080023010",TRUE,FALSE,0,401,0.626152832674572,-0.692189521738939,1.71324894492469
"209","G8832","ESP","2080020220",TRUE,FALSE,0,25,0.833333333333333,0.382384558622653,-0.774774040080972
"210","G8863","ESP","2080020230",TRUE,TRUE,1,100,1,1.24682730053516,-0.278492859561226
"211","G8871","ESP","2080020120",TRUE,TRUE,0,196,0.933333333333333,0.901050203770156,0.356747051504049
"212","G8917","ESP","2080020120",TRUE,FALSE,0,196,0.7,-0.309169634907351,0.356747051504049
"213","G8926","ESP","2080020240",TRUE,FALSE,0,256,0.8,0.209496010240152,0.753771995919846
"214","G8932","ESP","2080020120",TRUE,FALSE,0,169,0.866666666666667,0.555273107005154,0.178085826516941
"215","G8975","USA","7080013550",TRUE,FALSE,0,196,1,1.24682730053516,0.356747051504049
"216","G9014","CAN","7080034520",TRUE,FALSE,0,533,0.967016491754123,1.0757531746994,2.58670382263944
"217","G9067","CAN","7080034520",TRUE,FALSE,0,192,0.888888888888889,0.670532139260154,0.33027872187633
"218","G9310","SWE","2080031410",TRUE,TRUE,1,100,0.909090909090909,0.775313077673791,-0.278492859561226
"219","G9365","SWE","2080031160",TRUE,TRUE,0,121,0.478260869565217,-1.45925432632138,-0.139534129015697
"220","G937","CIV","1080024070",TRUE,FALSE,0,85,1,1.24682730053516,-0.377749095665175
"221","G9388","SWE","2080031160",TRUE,FALSE,0,196,0.736842105263158,-0.118082291958271,0.356747051504049
"222","G9475","SWE","2080030710",TRUE,FALSE,0,196,0.933333333333333,0.901050203770156,0.356747051504049
"223","G9476","SWE","2080030710",TRUE,TRUE,1,441,0.75,-0.0498368123335991,1.97793224120189
"224","G9477","SWE","2080030710",TRUE,FALSE,0,256,0.727272727272727,-0.167715368048941,0.753771995919846
"225","G9478","SWE","2080030710",TRUE,FALSE,0,256,0.727272727272727,-0.167715368048941,0.753771995919846
"226","G9479","SWE","2080030710",TRUE,FALSE,0,441,0.807692307692308,0.249393367559191,1.97793224120189
"227","G9484","SWE","2080030710",TRUE,FALSE,0,576,0.923076923076923,0.847853727344771,2.87123836613743
"228","G9487","SWE","2080030760",TRUE,FALSE,0,225,0.882352941176471,0.636632423891037,0.548642441305018
"229","G9498","SWE","2080030710",TRUE,FALSE,0,169,0.565217391304348,-1.00824072184529,0.178085826516941
"230","G9505","SWE","2080030660",TRUE,TRUE,1,529,0.958333333333333,1.03071661505703,2.56023549301172
"231","G9507","SWE","2080030660",TRUE,TRUE,1,529,0.958333333333333,1.03071661505703,2.56023549301172
"232","G9518","SWE","2080030660",TRUE,TRUE,1,484,0.956521739130435,1.02132049829711,2.26246678469987
"233","G9529","SWE","2080030710",TRUE,TRUE,1,225,0.681818181818182,-0.403472479479624,0.548642441305018
"234","G9541","SWE","2080030650",TRUE,FALSE,0,529,0.884615384615385,0.648366940749577,2.56023549301172
"235","G9542","SWE","2080030650",TRUE,FALSE,0,625,0.892857142857143,0.691114109305691,3.195475404077
"236","G9551","SWE","2080030660",TRUE,FALSE,0,529,0.958333333333333,1.03071661505703,2.56023549301172
"237","G9564","SWE","2080030610",TRUE,TRUE,0,529,1,1.24682730053516,2.56023549301172
"238","G9569","SWE","2080030650",TRUE,TRUE,1,361,0.904761904761905,0.752860019442298,1.44856564864749
"239","G9620","SWE","2080030570",TRUE,FALSE,0,136,0.59919028340081,-0.83203500187791,-0.0402778929117475
"240","G9626","SWE","2080030570",TRUE,FALSE,0,149,0.583504730563554,-0.913390575696214,0.0457441783783419
"241","G9636","SWE","2080030650",TRUE,FALSE,0,49,0.411764705882353,-1.80414708268545,-0.615964062314653
"242","G9638","SWE","2080030570",TRUE,FALSE,0,130,0.599431818181818,-0.830782243947736,-0.0799803873533272
"243","G9639","SWE","2080030570",TRUE,FALSE,0,113,0.59859649122807,-0.835114797881485,-0.192470788271136
"244","G9645","SWE","2080030570",TRUE,FALSE,0,145,0.593048128342246,-0.863892250038369,0.0192758487506221
"245","G9680","SWE","2080030610",TRUE,TRUE,1,169,0.684210526315789,-0.391064210456956,0.178085826516941
"246","G9699","SWE","2080030560",TRUE,FALSE,0,484,0.916666666666667,0.814605929578905,2.26246678469987
"247","G9713","SWE","2080030560",TRUE,FALSE,0,256,0.727272727272727,-0.167715368048941,0.753771995919846
"248","G9796","SWE","2080030460",TRUE,FALSE,0,100,0.909090909090909,0.775313077673791,-0.278492859561226
"249","G9802","SWE","2080030370",TRUE,TRUE,1,361,0.904761904761905,0.752860019442298,1.44856564864749
"250","G9812","SWE","2080030420",TRUE,FALSE,0,81,0.692307692307692,-0.349066992226389,-0.404217425292895
"251","G9828","SWE","2080030420",TRUE,FALSE,0,121,0.55,-1.0871681026286,-0.139534129015697
"252","G9840","SWE","2080030420",TRUE,TRUE,0,256,0.842105263157895,0.427881545039101,0.753771995919846
"253","G9847","SWE","2080030420",TRUE,TRUE,0,400,0.909090909090909,0.775313077673791,1.70663186251776
"254","G9848","SWE","2080030420",TRUE,FALSE,0,441,0.91304347826087,0.795813696059068,1.97793224120189
"255","G9860","SWE","2080030370",TRUE,FALSE,0,49,0.875,0.598495244100779,-0.615964062314653
"256","G9874","SWE","2080030370",TRUE,FALSE,0,25,0.625,-0.698168868767978,-0.774774040080972
"257","G9905","SWE","2080030370",TRUE,TRUE,1,144,0.857142857142857,0.505876378895868,0.0126587663436921
