"","Site","Country","HydroBasin","taxnovel","trophnovel","cooccur","total_bincount","mean_ts_fill","mean_ts_fillS","bincountS"
"77","G10175","SWE","2080030100",FALSE,FALSE,0,149,0.549793601651187,-1.08823861995605,0.0457441783783419
"78","G10179","SWE","2080030160",FALSE,FALSE,0,242,0.543529411764706,-1.12072882084403,0.661132842222827
"79","G10180","SWE","2080030160",FALSE,FALSE,0,144,0.666666666666667,-0.482058183289852,0.0126587663436921
"80","G10181","SWE","2080030160",TRUE,FALSE,0,125,0.572649572649573,-0.969692550522546,-0.113065799387977
"81","G10184","SWE","2080030160",TRUE,FALSE,0,170,0.703460038986355,-0.291223601376418,0.184702908923871
"82","G10186","SWE","2080030160",TRUE,FALSE,0,170,0.703460038986355,-0.291223601376418,0.184702908923871
"83","G10188","FIN","2080030100",FALSE,FALSE,0,36,0.666666666666667,-0.482058183289852,-0.701986133604742
"84","G10189","SWE","2080030100",FALSE,FALSE,0,242,0.514130434782609,-1.27321121447499,0.661132842222827
"85","G1019","USA","7080047060",FALSE,FALSE,0,81,0.818181818181818,0.303798854812426,-0.404217425292895
"86","G10191","SWE","2080030160",FALSE,FALSE,0,208,0.625454545454545,-0.695811297653671,0.436152040387209
"87","G102","HUN","2080008490",FALSE,FALSE,0,25,0.833333333333333,0.382384558622653,-0.774774040080972
"88","G1020","USA","7080047060",FALSE,FALSE,0,400,1,1.24682730053516,1.70663186251776
"89","G10200","SWE","2080030160",FALSE,FALSE,0,202,0.641471571906355,-0.612736484073949,0.396449545945629
"90","G10203","SWE","2080030100",FALSE,FALSE,0,225,0.504545454545455,-1.32292521405929,0.548642441305018
"91","G10206","SWE","2080030100",FALSE,FALSE,0,269,0.493383742911153,-1.38081717771684,0.839794067209936
"92","G1022","USA","7080047060",FALSE,FALSE,0,49,0.636363636363636,-0.639229590910307,-0.615964062314653
"93","G10222","SWE","2080033010",FALSE,FALSE,0,100,0.833333333333333,0.382384558622653,-0.278492859561226
"94","G10224","SWE","2080030100",FALSE,FALSE,0,49,0.7,-0.309169634907351,-0.615964062314653
"95","G10232","SWE","2080030100",FALSE,FALSE,0,196,0.777777777777778,0.0942369779851517,0.356747051504049
"96","G10233","SWE","2080030100",FALSE,FALSE,0,196,0.736842105263158,-0.118082291958271,0.356747051504049
"97","G10234","SWE","2080030100",FALSE,FALSE,0,225,0.789473684210526,0.154899626540415,0.548642441305018
"98","G10239","SWE","2080030100",FALSE,FALSE,0,361,0.904761904761905,0.752860019442298,1.44856564864749
"99","G10240","SWE","2080030100",FALSE,FALSE,0,400,0.909090909090909,0.775313077673791,1.70663186251776
"100","G10241","SWE","2080030100",FALSE,FALSE,0,529,0.92,0.831894784417156,2.56023549301172
"101","G10242","SWE","2080030100",FALSE,FALSE,0,361,0.863636363636364,0.539555966243109,1.44856564864749
"102","G10244","SWE","2080030100",FALSE,FALSE,0,361,0.863636363636364,0.539555966243109,1.44856564864749
"103","G10245","SWE","2080030100",FALSE,FALSE,0,400,0.869565217391304,0.570306893821024,1.70663186251776
"104","G10246","SWE","2080030100",FALSE,FALSE,0,400,0.869565217391304,0.570306893821024,1.70663186251776
"105","G10247","SWE","2080030100",TRUE,FALSE,0,400,0.869565217391304,0.570306893821024,1.70663186251776
"106","G1025","USA","7080047060",FALSE,FALSE,0,100,0.588235294117647,-0.888854767719265,-0.278492859561226
"107","G10250","SWE","2080032350",FALSE,FALSE,0,169,0.65,-0.568502457481102,0.178085826516941
"108","G10253","SWE","2080032670",FALSE,FALSE,0,25,0.833333333333333,0.382384558622653,-0.774774040080972
"109","G10255","SWE","2080033010",FALSE,FALSE,0,49,0.583333333333333,-0.914279554246104,-0.615964062314653
"110","G10258","SWE","2080033010",FALSE,TRUE,0,256,0.842105263157895,0.427881545039101,0.753771995919846
"111","G10259","SWE","2080033010",FALSE,FALSE,0,149,0.543859649122807,-1.11901599312012,0.0457441783783419
"112","G1026","USA","7080047060",FALSE,FALSE,0,196,0.823529411764706,0.331534985568976,0.356747051504049
"113","G10261","SWE","2080033010",FALSE,FALSE,0,100,0.666666666666667,-0.482058183289852,-0.278492859561226
"114","G10262","SWE","2080033020",TRUE,FALSE,0,324,0.75,-0.0498368123335991,1.20373359959108
"115","G10264","SWE","2080032680",FALSE,FALSE,0,49,0.538461538461538,-1.14701413860716,-0.615964062314653
"116","G10266","SWE","2080033020",FALSE,FALSE,0,169,0.8125,0.27432921588359,0.178085826516941
"117","G10267","SWE","2080033010",FALSE,FALSE,0,256,0.842105263157895,0.427881545039101,0.753771995919846
"118","G10269","SWE","2080033020",FALSE,FALSE,0,400,0.833333333333333,0.382384558622653,1.70663186251776
"119","G1027","USA","7080047060",FALSE,FALSE,0,436,0.814048696401638,0.28236177206652,1.94484682916724
"120","G10272","SWE","2080033020",FALSE,FALSE,0,169,0.866666666666667,0.555273107005154,0.178085826516941
"121","G10275","SWE","2080033020",FALSE,FALSE,0,324,0.692307692307692,-0.349066992226389,1.20373359959108
"122","G10276","SWE","2080033020",FALSE,FALSE,0,121,0.846153846153846,0.448880154154384,-0.139534129015697
"123","G10277","SWE","2080033010",FALSE,FALSE,0,170,0.563413742690059,-1.01759562756679,0.184702908923871
"124","G10282","SWE","2080033020",FALSE,TRUE,0,225,0.789473684210526,0.154899626540415,0.548642441305018
"125","G10283","SWE","2080033010",FALSE,FALSE,0,36,0.545454545454545,-1.11074381377167,-0.701986133604742
"126","G10284","SWE","2080033020",FALSE,FALSE,0,100,0.833333333333333,0.382384558622653,-0.278492859561226
"127","G10285","SWE","2080033010",FALSE,FALSE,0,121,0.733333333333333,-0.13628108652485,-0.139534129015697
"128","G10286","SWE","2080033020",FALSE,FALSE,0,49,1,1.24682730053516,-0.615964062314653
"129","G10291","SWE","2080033020",TRUE,TRUE,0,289,0.772727272727273,0.0680417433817423,0.972135715348535
"130","G10292","SWE","2080033020",FALSE,FALSE,0,196,0.823529411764706,0.331534985568976,0.356747051504049
"131","G10293","SWE","2080032680",FALSE,FALSE,0,169,0.590909090909091,-0.87498670234099,0.178085826516941
"132","G10297","SWE","2080032680",FALSE,FALSE,0,256,0.727272727272727,-0.167715368048941,0.753771995919846
"133","G103","HUN","2080008490",FALSE,FALSE,0,25,0.714285714285714,-0.235074542743421,-0.774774040080972
"134","G10300","SWE","2080033020",FALSE,FALSE,0,289,0.894736842105263,0.700863463537787,0.972135715348535
"135","G10302","SWE","2080033010",FALSE,FALSE,0,81,0.692307692307692,-0.349066992226389,-0.404217425292895
"136","G10307","SWE","2080033020",FALSE,FALSE,0,324,0.9,0.728161655387655,1.20373359959108
