"","Effect_Size","Mean_Estimate","CI_Lower","CI_Upper","PI_Lower","PI_Upper"
"(Intercept)",3.06972128551747,-3.06972128551747,-3.08855637171818,-3.05088619931677,-5.87560522547384,-0.302273436969239
"taxnovelTRUE",1.1723203885784,-1.89740089693907,-2.0694137087427,-1.72538808513543,-5.80400109145899,-0.230994065086191
"bin.lagS",0.0878803812665389,0.0878803812665389,0.0688819415526546,0.106878820980423,-5.8845112029508,-0.311625305633707
"logYr_posS",0.00680296400361785,-0.00680296400361785,-0.0255818854220915,0.0119759574148558,-5.80968689410245,-0.236827680809491
