"","Effect_Size","Mean_Estimate","CI_Lower","CI_Upper","PI_Lower","PI_Upper"
"(Intercept)",0.00052042376194006,-0.00052042376194006,-0.00368050454382716,0.00263965701994704,-0.48390786144466,0.478805699237408
"taxnovelTRUE",0.0452464472037679,-0.0457668709657079,-0.0754682744366522,-0.0160654674947636,-0.483161197895192,0.479499268667683
"bin.lagS",0.000208673855366548,-0.000208673855366548,-0.00335333208856505,0.00293598437783195,-0.482439612172953,0.480201264889526
"logYr_posS",0.0010670716408108,0.0010670716408108,-0.00207756458028334,0.00421170786190494,-0.482245692076227,0.480390628892881
